hint,code
0.46,A-STI-ggh
0.47,A-STL-xo-a
0.0,P_-SUm-ss
0.01,P_-SUc-sg
0.02,P_-SUp-sp
0.03,P_-SUw-ss
0.0,P_-SUm-ss
0.01,P_-SUc-sg
0.02,P_-SUp-sp
0.03,P_-SUw-ss
0.0,A-FO-xb-s
0.01,P_-HAU-xci-f
0.02,A-HAr-xsk-c
0.03,A-HAu-xsl-ci
0.04,A-HAy-xci-sl
0.05,A-HAd-kd
0.06,A-HAc-kds
0.07,A-HAm-cib
0.0,A-OP-mogq
0.01,A-OP-ogl
0.02,A-OP-xo-a
0.03,A-OPsn-gg
0.04,A-OPan-xo-a
0.05,A-OPso-gm
0.06,A-OPfo-gg
0.07,A-OPst-gv
0.08,A-OPmg-gh
0.09,A-OPmw-fdp
0.1,A-OPre-fdp
0.11,A-OPbl-gm
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
0.45,A-STyn-gg
0.46,A-STI-ggh
0.47,A-STL-xo-a
0.0,A-RA-mgmn
0.01,A-RAtw-gf
0.02,A-RAbu-xo-a
0.03,A-RApi-mgtn
0.0,K-_na-sz
0.01,K-_ya-sc
0.0,P_-WYj-b
0.01,P_-WYd-kd
0.02,P_-WYm-sp
0.0,A-CEta-mgt
0.01,A-CEst-gm
0.02,A-CEka-mggb
0.03,A-CE-gmh
0.04,A-CE-gth
0.05,A-CEwo-gmp
0.06,A-CE-mgm
0.07,A-CEkr-gg
0.08,A-CEgc-mgm
0.09,A-CEsf-mgg
0.1,A-CE-mgtn
0.11,A-CE-mgms
0.12,A-CE-mgmy
0.13,A-CE-xmgi-mgg
0.14,A-CE-xmgtn-mg
0.15,A-CE-xmg-mgn
0.16,A-CE-gpi
0.17,A-CEbu-gm
0.18,A-CE-gmm
0.19,A-CE-gtl
0.2,A-CE-jg-mw
0.0,A-MBge-mgtn
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
0.45,A-STyn-gg
0.46,A-STI-ggh
0.47,A-STL-xo-a
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
0.45,A-STyn-gg
0.46,A-STI-ggh
0.47,A-STL-xo-a
0.0,A-SOc-mds
0.01,A-SOc-mhs
0.02,A-SOc-xmh-mtq
0.03,A-SOc-ml
0.04,A-SOc-mlsd
0.05,A-SOc-mtq
0.06,A-SOc-mtqm
0.07,A-SOc-xmt-mbs
0.08,A-SOc-xmtq-mdna
0.09,A-SOc-mx
0.1,A-SOc-sg
0.11,A-SOc-sp
0.12,A-SOc-ss
0.13,A-SOc-stq
0.14,A-SOc-sw
0.15,A-SOc-xsg-u
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
